cohort_name,estimate,value,diagnostics,source
hospitalised_inpatient,Cohort timing,"Diagnoses of chronic conditions like hypertension and type 2 diabetes will typically predate the hospitalisation by many years, as will the associated long-term medication use such as warfarin and screening tests like prostate specific antigen measurement. In contrast, use of medications for acute symptom control, such as acetaminophen or morphine, is very often initiated at the time of or during the hospital admission.",compare_cohorts,gemini-2.5-pro
hospitalised_inpatient,Frequently seen comorbidities,"hypertension, type 2 diabetes mellitus, chronic kidney disease, ischaemic heart disease, atrial fibrillation, heart failure, chronic obstructive pulmonary disease, asthma, dementia, and cancer (These common chronic conditions increase the risk of acute illness requiring hospitalisation and often complicate the management of the admitting condition.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-pro
hospitalised_inpatient,Frequently seen signs and symptoms,"dyspnoea, chest pain, abdominal pain, fever, altered mental state, syncope, weakness, nausea, vomiting, and falls (These are common, often non-specific, presenting features of a wide range of acute medical and surgical conditions that are severe enough to warrant hospital admission.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-pro
hospitalised_inpatient,Frequently seen medications,"paracetamol, atorvastatin, ramipril, aspirin, bisoprolol, furosemide, omeprazole, metformin, salbutamol, and apixaban (This list includes medications for managing common chronic comorbidities as well as drugs frequently used in hospital to manage acute symptoms like pain and fever.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-pro
user_of_warfarin,Clinical description,"Warfarin is an oral anticoagulant medication used to prevent the formation of blood clots. It is most commonly prescribed for individuals with atrial fibrillation, venous thromboembolism (including deep vein thrombosis and pulmonary embolism), or those with mechanical heart valves.",cohort_count,gemini-2.5-pro
user_of_warfarin,Frequency,"Warfarin is a frequently prescribed medication, and users can be readily identified in both primary care electronic health records and insurance claims data through prescription records.",cohort_count,gemini-2.5-pro
user_of_warfarin,Median age of incident cases,"65 to 75 (The most common indications for warfarin, such as atrial fibrillation and venous thromboembolism, increase in incidence with age.)",cohort_characteristics,gemini-2.5-pro
user_of_warfarin,Percentage male,"50% to 60% (The primary indications for warfarin therapy, particularly atrial fibrillation, are slightly more common in men.)",cohort_characteristics,gemini-2.5-pro
user_of_warfarin,Survival at five years,"45% to 65% (Mortality is driven by the underlying cardiovascular conditions for which warfarin is prescribed and the advanced age of many patients, rather than the medication itself.)",cohort_survival,gemini-2.5-pro
user_of_warfarin,Cohort overlap,"Overlap with hypertension will be very high (70-90%), high with hospitalised_inpatient (40-60%), and moderate with type_2_diabetes (20-40%), user_of_acetaminophen (30-50%), measurement_of_psa (20-40% of males), and user_of_morphine (10-25%).",compare_cohorts,gemini-2.5-pro
user_of_warfarin,Cohort timing,"Hypertension and type_2_diabetes will typically be diagnosed years before warfarin initiation. Hospitalisation often occurs concurrently with or immediately precedes the start of warfarin for an acute event, while other cohort entries have a less distinct temporal relationship.",compare_cohorts,gemini-2.5-pro
user_of_warfarin,Frequently seen comorbidities,"hypertension, atrial fibrillation, ischaemic heart disease, type 2 diabetes mellitus, heart failure, chronic kidney disease, stroke, dyslipidaemia, peripheral vascular disease, chronic obstructive pulmonary disease (These conditions are common as they are risk factors for, or consequences of, the thromboembolic diseases for which warfarin is indicated.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-pro
user_of_warfarin,Frequently seen signs and symptoms,"bruising, bleeding, dyspnoea, palpitations, chest pain, oedema, fatigue, haematuria, epistaxis, syncope (These are typically related to the underlying cardiovascular condition requiring anticoagulation or are a direct side effect of warfarin's anticoagulant properties.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-pro
user_of_warfarin,Frequently seen medications,"ramipril, bisoprolol, atorvastatin, furosemide, amlodipine, aspirin, lansoprazole, metformin, digoxin, spironolactone (These medications are commonly used to manage the underlying cardiovascular diseases and comorbidities frequently seen in patients taking warfarin.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-pro
user_of_acetaminophen,Clinical description,Acetaminophen is a widely used medication with analgesic and antipyretic properties. It is used to treat mild to moderate pain and to reduce fever from a wide variety of causes.,cohort_count,gemini-2.5-pro
user_of_acetaminophen,Frequency,"Use of acetaminophen is extremely common across the global population, both as an over-the-counter and prescribed medication, and will be readily identifiable in primary care, hospital, and insurance claims data.",cohort_count,gemini-2.5-pro
user_of_acetaminophen,Median age of incident cases,"40 to 60 (While acetaminophen is used by people of all ages, from infants to the elderly, the median age in a general user cohort often reflects the age of individuals with chronic pain conditions like osteoarthritis.)",cohort_characteristics,gemini-2.5-pro
user_of_acetaminophen,Percentage male,"40% to 55% (Use is common in both sexes, although a slight female predominance may be observed due to a higher prevalence of some pain conditions such as migraine and fibromyalgia in women.)",cohort_characteristics,gemini-2.5-pro
user_of_acetaminophen,Survival at five years,"90% to 98% (Survival is generally very high and similar to the general population, as acetaminophen is typically used for non-life-threatening conditions, though it may be lower in those with severe underlying disease.)",cohort_survival,gemini-2.5-pro
user_of_acetaminophen,Cohort overlap,"Expect to see overlap with hypertension (20-40%), type 2 diabetes (10-25%), hospitalised inpatient (15-30%), user of warfarin (5-15%), user of morphine (80-95%), and measurement of prostate specific antigen level (10-25% of the total cohort).",compare_cohorts,gemini-2.5-pro
user_of_acetaminophen,Cohort timing,"For chronic conditions like hypertension and type 2 diabetes, their diagnosis often precedes or is concurrent with regular acetaminophen use by months to years. For hospitalised inpatients, acetaminophen use typically begins at the start of the admission. Acetaminophen use often precedes the initiation of morphine by weeks to years but can be started concurrently for acute severe pain. The timing relative to warfarin use or prostate specific antigen testing is variable and depends on the specific clinical context.",compare_cohorts,gemini-2.5-pro
user_of_acetaminophen,Frequently seen comorbidities,"osteoarthritis, hypertension, headache, type 2 diabetes mellitus, back pain, upper respiratory tract infection, chronic pain syndrome, influenza, fibromyalgia, musculoskeletal pain (These conditions are either direct reasons for needing pain relief or are common chronic diseases prevalent in the adult population who are frequent users of analgesics.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-pro
user_of_acetaminophen,Frequently seen signs and symptoms,"pain, fever, headache, myalgia, arthralgia, backache, sore throat, pyrexia, toothache, malaise (These represent the primary indications for which acetaminophen is used, reflecting its function as a first-line analgesic and antipyretic medication.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-pro
user_of_acetaminophen,Frequently seen medications,"ibuprofen, codeine, amlodipine, lisinopril, metformin, atorvastatin, omeprazole, amoxicillin, aspirin, naproxen (This list includes other commonly used analgesics, often co-prescribed or available over-the-counter, and medications used to treat frequent underlying comorbidities.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-pro
user_of_morphine,Clinical description,"Morphine is a potent opioid analgesic used to manage severe acute or chronic pain that is not adequately controlled by other analgesics. Its use is common following major surgery, for severe trauma, and in the management of pain associated with advanced cancer.",cohort_count,gemini-2.5-pro
user_of_morphine,Frequency,"Users of morphine are commonly seen in healthcare data, particularly from hospital settings (for acute pain) and specialist palliative care or pain clinics (for chronic pain). Cases are readily identifiable in both electronic healthcare records and claims data where prescriptions are recorded.",cohort_count,gemini-2.5-pro
user_of_morphine,Median age of incident cases,"55 to 75 (The age of individuals using morphine is highly variable, but its use is most concentrated in older adults due to the higher prevalence of cancer, major surgeries, and severe chronic degenerative conditions in this population.)",cohort_characteristics,gemini-2.5-pro
user_of_morphine,Percentage male,"45% to 55% (The proportion of males and females is expected to be roughly equal, as the underlying conditions requiring potent analgesia do not have a strong overall sex predilection.)",cohort_characteristics,gemini-2.5-pro
user_of_morphine,Survival at five years,"30% to 60% (Survival is extremely dependent on the reason for prescription, ranging from very high for post-operative use to very low for use in end-of-life care, which significantly lowers the overall cohort survival rate.)",cohort_survival,gemini-2.5-pro
user_of_morphine,Cohort overlap,"Expect to see very high overlap with hospitalised_inpatient (50-80%) and user_of_acetaminophen (60-90%), high overlap with hypertension (30-50%) and type 2_diabetes (20-40%), moderate overlap with measurement_of_psa (15-30% of males), and lower overlap with user_of_warfarin (5-15%).",compare_cohorts,gemini-2.5-pro
user_of_morphine,Cohort timing,"For people in the user_of_morphine cohort, entry into the hypertension, type 2_diabetes, user_of_warfarin, and measurement_of_psa cohorts would typically precede morphine use by several years. Entry into the hospitalised_inpatient cohort is often concurrent or immediately precedes morphine initiation (within days), while use of acetaminophen may precede or be concurrent.",compare_cohorts,gemini-2.5-pro
user_of_morphine,Frequently seen comorbidities,"The most common comorbidities are hypertension, cancer, osteoarthritis, chronic obstructive pulmonary disease, type 2 diabetes, depression, chronic kidney disease, anxiety, constipation, and substance use disorder. (These conditions are frequently seen as they are either the underlying cause of severe pain (e.g., cancer, osteoarthritis) or are common age-related comorbidities in the population typically requiring morphine.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-pro
user_of_morphine,Frequently seen signs and symptoms,"The most common signs and symptoms are pain, constipation, nausea, somnolence, vomiting, dizziness, pruritus, confusion, dry mouth, and respiratory depression. (These represent a combination of the primary indication for the drug (pain) and the well-established adverse effects of opioid analgesics on the central nervous and gastrointestinal systems.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-pro
user_of_morphine,Frequently seen medications,"The most common medications are laxatives, antiemetics, paracetamol, non-steroidal anti-inflammatory drugs, gabapentinoids, benzodiazepines, antidepressants, proton pump inhibitors, anticoagulants, and diuretics. (This list includes medications to manage the side effects of morphine (laxatives, antiemetics), provide multi-modal analgesia (paracetamol), and treat common comorbidities found in this patient population.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-pro
measurement_of_psa,Clinical description,Measurement of prostate-specific antigen (PSA) level is a blood test primarily used for screening and monitoring prostate cancer. Elevated levels can indicate malignancy but are also commonly caused by benign conditions such as benign prostatic hyperplasia or prostatitis.,cohort_count,gemini-2.5-pro
measurement_of_psa,Frequency,"Prostate-specific antigen testing is a very common procedure, particularly in primary care for men over 50, and is therefore readily identifiable in most types of real-world healthcare data.",cohort_count,gemini-2.5-pro
measurement_of_psa,Median age of incident cases,"55 to 65 (PSA testing is most common in men over 50 due to the increased risk of prostate conditions, such as benign prostatic hyperplasia and prostate cancer, with age.)",cohort_characteristics,gemini-2.5-pro
measurement_of_psa,Percentage male,100% to 100% (The prostate-specific antigen test is exclusively performed on males as the prostate gland is part of the male reproductive system.),cohort_characteristics,gemini-2.5-pro
measurement_of_psa,Survival at five years,"90% to 98% (As PSA testing is often performed for screening in asymptomatic men, the five-year survival of this cohort is high and reflects that of the general male population of a similar age.)",cohort_survival,gemini-2.5-pro
measurement_of_psa,Cohort overlap,"Expect to see a 30-50% overlap with hypertension, 10-25% with type 2 diabetes, 5-15% with hospitalised inpatient, 5-10% with user of warfarin, 40-60% with user of acetaminophen, and 1-5% with user of morphine.",compare_cohorts,gemini-2.5-pro
measurement_of_psa,Cohort timing,"For people also in the other cohorts, entry into the hypertension, type 2 diabetes, and user of warfarin cohorts would typically precede the PSA measurement by several years, whereas entry into the hospitalised inpatient and user of morphine cohorts would often occur weeks to years after an abnormal PSA result, with no typical timing relationship for the user of acetaminophen cohort.",compare_cohorts,gemini-2.5-pro
measurement_of_psa,Frequently seen comorbidities,"the most common comorbidities are hypertension, benign prostatic hyperplasia, hyperlipidaemia, type 2 diabetes mellitus, ischaemic heart disease, and obesity. (The most common comorbidities are those prevalent in the older male population for whom PSA testing is most indicated.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-pro
measurement_of_psa,Frequently seen signs and symptoms,"the most common signs and symptoms are nocturia, urinary frequency, weak urinary stream, urinary urgency, dysuria, and haematuria. (These symptoms are commonly associated with prostatic conditions like benign prostatic hyperplasia or prostate cancer, which are primary indications for PSA testing.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-pro
measurement_of_psa,Frequently seen medications,"the most common medications are alpha-adrenoceptor antagonists, 5-alpha-reductase inhibitors, statins, angiotensin-converting enzyme inhibitors, beta blocking agents, and metformin. (Common medications reflect the management of age-related comorbidities and specific urological conditions like benign prostatic hyperplasia.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-pro
